animal,pronoun,response,age,gender
rabbit,she,She jumped in the water and looked back scared. Hopefully the fox would lose her scent and get lost in the hunt.,50s,female
cat,it,"Upon arriving, it saw that no fishing boats has arrived at the dock that day. Must I do everything myself, thought the cat as it dipped it's paws in the water hoping to snag a minnow.",30s,male
mouse,she,"She took her Bialetti espresso machine out of her backpack, lit a small fire, and made herself a decent cup of Espresso with the delicious mountain river water—no comparison to the slop from the coffee machine at the office!",50s,male
cat,he,He sat in quiet contemplation until the spirit moved him to the next point in his soul’s journey.,40s,male
rabbit,he,"he quickly jumped in the water to find his alleged ""long lost treasure"". Unfortunately for him, he can't even swim one bit and drowned immediately.",u20,male
rabbit,he,He drank out of it,u20,non-binary
bird,it,"the bird took a moment to admire its reflection before taking a drink. After it had enough, it skittered down the bank before taking off to join its group.",30s,female
rabbit,it,"The rabbit jumped in feet first and yelled at the top of its lungs, “ I love water”",30s,male
pig,,to the river the pig noticed the river was dry. the pig was disappointed.,40s,male
cat,she,"she sniffed the muddy ground, slipped between the reeds along the shore, and waited. After minutes of patient stillness, the cat struck a paw into the water and set its claws into a delicious passing fish.",30s,male
bear,he,"he drank from the water, and tried to catch fish for a while to no avail.",,
pig,she,"She waded into the shallows, stirring up the muck. ""How will I ever cross?"" she thought. ""It's much too deep and I can't swim.""",30s,female
bird,he,"he spotted a silver glimmer on the riverbed. He flew to the sparkle and nudged it with his beak. Then he shifted the area around, and found a",,
rabbit,he,"he saw no clear path across. ""I must find a way across this river,"" the rabbit said. ",20s,female
rabbit,she,"The rabbit removed her clothing down to her swim trunks, donned her swimming cap and goggles, and hopped into the cool refreshing water. Little did she know, a hungry alligator was waiting for her...with a birthday cake!",30s,male
rabbit,he,He jumped in and drowned.,30s,female
bear,he,the bear saw salmon leaping out of the water and caught one for his dinner,30s,female
dog,he,He jumped right away and surprisingly swim perfectly,20s,male
bear,he,He bent down and put his paw in the river to catch some fish.,,
bird,he,He dove to the bottom and found the treasure he was looking for,30s,female
dog,he,"The dog looked at the water and saw himself for the first time. I’m so glad I came here he thought, now I know what I look like. I’m so ugly haha",20s,female
mouse,he,The mouse decided to sit on the dock and fish while waiting for his friend.,u20,female
dog,,the dog jumped in the river,30s,non-binary
dog,she,"she sniffed around for a minute, and ran back to the house to call her buddy, Snowy to join her in her quest. “Come fast Snowy! I think I’ve found it!”",30s,male
bird,she,the bird swooped down and splashed her wings into the water. She felt the cool rush flowing between her feathers and toes.,30s,male
pig,,the pig bathed in mud,20s,female
bird,,the bird was a stochastic parrot.,,
pig,he,"he flung himself into the water, hoping for brief respite from the scorching heat. The planktons stared at him disdainfully, but he payed them no mind. ""Ah! Finally, sweet relief."" he thought to himself. ",20s,female
dog,he,he fried the freshly caught fish.,20s,male
bear,he,he had a drink of water.,40s,female
bird,,The bird perched on a large branch overlooking the water and searched for fish.,,
bird,,"the bird looked around, there was not another being in sight. Once a buzzing nexus of life, the area had fallen nearly silent; where the roaring rapids once flowed, there was hardly a trickle. What had happened?",30s,male
pig,he,"He was surprised to find nothing there. Long had he expected to find riches and treasure at the end of his journey, and yet none were to be found. ",,
rabbit,she," she kicked the dirt off her paws before kneeling at the river. She closed her eyes, slowly quieting her mind until all she heard nothing but the soft song of the river and the rustling of trees. Then, the sparrow arrived, perching on a low branch. ",20s,male
mouse,it,it drank.,na,male
dog,he,"he realized he was too afraid to swim. Frantically, he searched for any route across—stones, a fallen tree, a hidden bridge—but he could see none. ",20s,female
cat,he,"the cat pondered the raging current. “Well,” said the cat, “I’ll not be lunching on fish today.” The cat turned away from the water and began his journey to the farmer’s field, where moles and mice might be found.",60+,female
bird,she,"she found a water-logged book which had slipped out of a water-logged satchel onto the muddy banks.  Consumed with curiosity, she started pecking at the book.  With every little thrust of her golden beak, there was a sizzling hiss, and small, colorful pops of bright light were thrown into the breeze.  ",30s,male
bear,he,"He looked for the best spot, and started to fish. He tried at it for awhile, until he finally caught a nice big salmon. ""This will do,"" he thought.",20s,female
bear,he,"the dealer flipped the fifth and final card, and the crowd gasped. The odds were against it, the room was stunned, and there sat The Bear. Drained of all emotion, jaw agape, and watched the championship bracelet be awarded to his nemesis, the silver tongued, Singapore Sorceress.",50s,male
dog,it,it laid down by the bank of the river and took a nap.,40s,female
dog,he,he jumped into the water and swam around.,,
cat,he,"the cat surveyed the scene before him.  He saw the river was wider than he anticipated, but not impossible to cross.  He began to plot.",40s,male
cat,she,she dipped her face to the surface of the water and waited patiently for the river deity to appear.,30s,female
mouse,he,He drank some water.,,
rabbit,it,"it pondered Herakleitos's concept of impermanence and wondered if it, the same rabbit, could, proceeding sufficiently fast, cross this same river twice. Sadly, unable to overcome the current beyond the bank, it drowned. Once.",60+,male
mouse,it,"the mouse realized it had forgotten its sandwich. ""I must go to the house!"" said the mouse.",20s,male
rabbit,he,he fell in.,20s,female
rabbit,he,he found the river different from ever before! It had stopped flowing and grown hard and cold to the touch. Rabbit was puzzled.,60+,female
cat,,the cat did a cannon ball.,30s,male
bear,he,"he caught a fish. He then sat back on his haunches and leisurely devoured it. Then he suddenly realized - ""I can speak English?!""",40s,male
rabbit,,The rabbit found a friend and just chilled.,,
pig,he,"It was soon spring and the pig s friends, the ducks had just flown back. He longed to see them again after the long winter. He thought for a while...",30s,female
bird,he,"The bird saw a mate and decided to tell her about his travels. She was suspicious of him, but allowed him to talk while she bathed. As soon as she finished she flew off without a word and the bird was left wondering why he can’t find a mate. ",40s,female
dog,,"the dog ate a burrito bowl. “Yum,” said the dog. ",20s,female
bird,it,"The bird finished up the washing that had been left undone. When the bird was done, it played in the water. ",30s,male
rabbit,she,"Miss Rabbit unfurled a nice red and white plaid picnic blanket on the grass next to the river. She opened up her wicker picnic basket and spread a nice lunch out, then called out to all the animals to come join her for a feast. ",50s,male
cat,it,"the cat saw its friends spread out on the banks of the river. The large group of cats were lounging in the dappled sunlight, some napping, some cleaning and some chatting with each other. The cat, weary from its walk through the forest, found a sun spot next to some other nappers and curled up for a nice rest.",20s,female
mouse,she,she discovered a frog in the river. The frog offered to take her across.,40s,male
dog,he,"he boarded the ferry, greeting his old friend with a ""'Sup, Charon?"" The ferryman commenced the crossing. ""Yo, Cerberus,"" he replied, as the dog hung one of his heads over the bow, drinking deep from the river Styx.",60+,male
dog,she,"the dog perched on the soft riverbank, closed her eyes, and inhaled the fishy air. Toast would be the day she finally caught the elusive otter.",40s,female
cat,she,"She took off her boots and jumped into the water. The stream was strong, but she knew she could make it across. She had to.",20s,female
rabbit,,the rabbit took a big drink of water.,60+,female
cat,he,"the cat sniffed the water and then took a drink. As the magical effects of the water took hold, the cat shivered and shuddered until he wasn’t a cat anymore. There in his place stood a wizard.",30s,female
mouse,it,the mouse washed it’s tiny hands and face thoroughly.,20s,female
dog,they,The dog jumped in the river much to the dismay of their owners.,,
bird,she,"she spied a rock in the water, carving the rapids around it. She determined to use the rock as a perch, from which to quench her thirst and better spy low-flying bugs, her favorite snack! Just then, the rock lunged from the water, its long mouth agape and sharp teeth cutting towards her. ",,
dog,he,he saw a duck and began chasing it.,40s,male
rabbit,,"The rabbit busted down some of the most epic moves of our time. Societies collapsed and a new regime arrived. Now, nature could finally reign supreme once again, with sweet vibes for all.",20s,non-binary
pig,it,"the pig saw that the river was wild that day, currents rushing and churning. How could the pig hope to cross the river and find its wild brethren?",30s,non-binary
pig,he,"The pig noted his reflection in the mirror-like water of the flow. He then jumped in and swam on his back, among the reeds.",60+,male
rabbit,she,"She lowered her head into the water and took a brief drink. Then, she hopped away into the forest.",,
bear,he,he splashed into the water and caught a fish in his mouth.,20s,female
mouse,she,the mouse took a drink of water and gathered grasses that grow at the stream to build her nest.,60+,female
bird,they,the bird dipped their beak into the water to take a drink and perched in a nearby tree to rest.,20s,male
mouse,he,"the mouse then unpacked his picnic basket. He kicked off his mouse shoes, stretched his mouse legs and laid down on the long, soft grass next to the river. With the sun shining warmly, he closed his eyes, finally at peace. ",20s,female
bear,he,he drank the water,20s,male
bear,he,"the bear clipped his nails, used a salmon bone to pick his teeth, then jumped into the river. ",40s,
mouse,he,He needed to make a boat. He found a leaf for the boat and a twig to use as an oar. It worked and in no time he was across.,50s,female
bird,it,"it dipped its wings into the cool water, letting the ripples spread across the surface. The bird watched the reflections dance, lost in the quiet rhythm of the flow. After a moment, it flew off into the sky, feeling lighter than before.",30s,female
cat,,An anomalous wave arrives and the cat downs. End of story.,40s,male
rabbit,,"""Sherry Darling, don't let your hungry heart fade away!""",,
bear,he,"he rubbed his cheeks and slapped his warm abdominal skin, ready to plunge into the water. ""Woooosh"", he goes, diving into the river butt first before flapping his way to the sturdy rocks. Stabilising his arm around a 4-foot rock, he catches a rare glimpse of the most beautiful bear delicately making her way into the river for an evening dip.",20s,male
pig,,the pig took a drink.,40s,female
bird,he,"he looked far and wide for the fish, but the bird could not find him. He called out, but the fish did not answer. And suddenly it dawned on him: The fish had already gone. ",20s,female
rabbit,he,"he stood atop the highest stump, left behind from the age of the Giants, and he shouted: ""All of you who hear me, bow down, for I am the righteous ruler of this river, the Giant King, and to me you will yield. All of you who do not hear me, come with the crowd, and we will journey to the Giants' Land, of fables long forgotten.""",u20,female
dog,he," he met the same tiger he had seen before and a new fury friend.
They seemed amused.
what should i say''",50s,male
dog,,"the dog saw that the river had flooded its banks. The water companies claimed this would only happen once in a hundred years, but this was the fourth time this decade and the town had barely recovered from the last time.",20s,male
bear,he,"he took a long drink of the cool, clear, pure water. And then he joined in with the other bears and creatures to destroy humanity and save the earth. ",,
bear,he,he dived in and emerged from the water with a fresh fish in his jaws.,,
rabbit,,"The rabbit gazed at the imposing view. The river was wide, fast currents separating the rabbit from the other side.",20s,male
pig,he,"the pig gazed at his reflection in the water and smiled. The river ran by without beginning or end oblivious to the pig, both on their separate journeys. At that moment the pig understood his suffering was an inherent aspect of life he must overcome. He smiled again, lay down and fell asleep. ",60+,male
cat,she,she bought an icecream from the van and sat on a bench in the sun to enjoy it.,50s,female
rabbit,he,"He took a deep breath, soaking up the wet spring air. It was peaceful and quiet and he started wading in. Then, with a big gulp of air, he dove head first under the cool rush.",,
mouse,he,he took a big drink,60+,
cat,she,"and examining what she saw, she changed her mind and returned from whence she came. Moral: cats do not like getting wet.",60+,male
pig,,the pig drank some water,,
cat,he,He eyed some fish.,30s,female
bear,he,"he rolled in the mud, as bears are wont to do, then said to the fox, ""How do you do?"" They danced on the bank; they swayed to and fro. From sunrise to sunset, how they danced, oh!",30s,female
mouse,it,"the mouse sat down on the river bank, and blissfully watched the sun set for the very last time, before embarking on a mission that will forever change its life.",20s,female
dog,she,"she scanned every direction. There it was,  on the other side. She jumped in and, using all her might amidst the strong current, made it to the shore. ",50s,female
bear,he,he took a shit,50s,male
mouse,he,"the mouse found the beaver building the dam that was stopping water supply to the farm. He decided to confront him, ""Hey Mr. Beaver - why are you building a dam here? Our farm is downstream and the water isn't getting there to water our fields. All the plants are dying and we have less food now"".",30s,male
rabbit,he,"There had not been rain for eight weeks, and even the deepest of wells ran dry. Although the trek was long and harsh, the children were growing lean and scroungy, and paternal instinct won over pragmatism. With his knapsack upon his shoulder, the rabbit said, ""I must go to the river."" ",20s,female
dog,she,she didn't find her friend. So she went elsewhere in search of her friend.,,
bear,he,the bear caught some fish while he waited.,20s,male
pig,,the pig went for a swim :),20s,non-binary
cat,,And now I must learn to swim. And enjoy it. Splash.,50s,female
cat,,"The cat, hesitantly stepped towards the water",,
bird,he,He went for a swim.,,
bear,he,he ate some fish.,30s,female
rabbit,he,the rabbit bent down and drank some water. He then stared at his own reflection in the water and concluded that he’s a handsome fella.,20s,female
bird,he,he looked at his reflection.,40s,female
rabbit,she,"the rabbit gathered her sack and shoes and coat and headed out the door to start her journey. Slipping through the cloak of night, the rabbit made out through the tree line to the riverbank. She laid her coverings by the water’s edge and began to prepare the ritual.",30s,male
mouse,he,"He noticed it was much bigger than he imagined...yes, there was more water, just like the snake had said there would be but, he couldn't figure out how he'd ever get a drink without being swept away.",60+,male
mouse,she,"she gathered up mud from the riverbank, and formed it into the likeness of the fish.",50s,female
dog,he,the dog made a running leap into the shallow water. He paddled around happily for a few moments before climbing back out and shaking his wet fur. He then lay down in a sunny spot to rest.,60+,male
cat,it,It sat down and started licking its paw.,40s,male
bird,it,"the bird set about making its nest high up in the arching oak tree nearby. After several days, it was completed and mama bird came to deposit her eggs. ",60+,female
bird,,"the bird bobbed along the banks, eating small invertebrates from the sand.",30s,female
cat,he,"the cat was briefly distracted by a couple of fish passing by, but soon saw his confederate on the opposite bank. ""What's on the agenda for today?"" he asked.",30s,male
bear,he,He jumped into the pool,20s,female
rabbit,he,he jumped straight into the water.,na,male
pig,it,the pig waded into the water and splashed about. It then swam to the other side and continued on its journey.,30s,female
mouse,he,"the mouse jumped into the water, climbed aboard a floating piece of wood and rode it down the river in search of his mates.",,
bird,he,he waded into the water until he could no longer stand.,20s,female
bear,he,"he said, ""I must take a swim."" Upon swimming, he said, ""I must have lunch.""",,
bear,he,"the bear sucked up all the water and spit it out onto the incoming fire. The bear tried the hardest he could, but he couldn't keep the fire, and it ended up swallowing him. The bear's name was Johnny, and this story took place in 1543.",u20,male
bird,she,"The bird was flying along the river with her family. When suddenly, she realised she lost her baby bird! She panicked…",20s,female
dog,he,"he looked around, slowly lowered his head to the flowing water, and lapped up enough water to satisfy his thirst.",40s,male
rabbit,they,"the rabbit took a drink out of the river saw it's refection and wished to have invited their friend with them for this afternoon picnic by the river. The rabbit knew it would be a nice day with the sun out, a book to read and all the delicious grass and fresh cool water. Still they couldn't shake the longing to be sharing it all with another they cared for. ",40s,non-binary
rabbit,they,they looked around for their friend the badger. “Now where did he wander off to?” they muttered under their breath.,20s,female
mouse,,the mouse got into a boat with three friends and escaped to freedom.,30s,female
mouse,he,"He ran to the riverbed and started drinking the cold, refreshing water.",30s,female
pig,he,"He had a drink of water, then slowly slipped in and washed the mud off. ",40s,female
bird,it,…it found the river water gone..dried up river bed. It was a federal river. Marked for reduction and termination.,60+,male
pig,he,he jumped into the water and spend the rest of day laying on the grass,20s,male
bear,he,"the bear approached the ferry, frightening away the ferryman. The bear, feeling guilty and being a responsible type, took up the now abandoned business. In time he became a fair, if scary, ferry bear. ",60+,na
rabbit,he,Rabbit smelled himeself thinking he really needs a shower,20s,female
rabbit,it,the rabbit hopped into its kayak and got the hell out of there.,20s,female
rabbit,,the rabbit searched for some food.,30s,male
bird,he,he landed on a nearby tree and had some water,,
bear,he,"the bear sees there is no river, and as he looks across the barren landscape he wonders if there was ever a river here. Birds chirp overhead, he sits. ""Where has the time gone?""",u20,male
bear,he,he went to his brother's house to discuss the incident.,,
mouse,she,"the mouse readied her boat. She tucked her provisions in their waterproof bundle under the seat, drew her thick woolen cloak about her. She lowered the sail, stepped into the stern and grasped the rudder, letting the wind catch and pull her forward into current heading downstream.",30s,non-binary
bird,,the bird lived happily ever after. The end,,
rabbit,she,she was surprised how far the water had receded despite the torrenting rain coming down for weeks. There was only a trickle in the middle of the place where once the water had flown. Someone must have opened the floodgates the rabbit thought and began to hop downstream.,50s,female
cat,he,he let his bladder flow,u20,
mouse,he,"he swam across the river. After crossing, he went home to his wife and children.",20s,self
cat,he,he walked up to the shore and started lapping up the water.,u20,male
bird,,"The bird landed on a branch of a tree next to the river, flowing with moderate intensity as Roman legionaries and an unknown opposing force clash swords at the river. ""I'm too late"", the bird says gravely. ",30s,male
dog,he,he threw himself among the rippling eddies and currents.,30s,female
cat,,The cat caught a fish and started a fire to cook it. When the fire was big enough the cat cooked the fish and ate it for dinner.,u20,female
bear,he,"he took out his fishing rode and sat down. The bear always enjoyed the serenity of nature, just as much as eating fish he acquired on his own.",20s,female
dog,,The dog ran around in the water playing.,30s,female
cat,he,he gazed at his reflection.,30s,male
rabbit,he,He took off his clothes and went for a sweem.,,
pig,she,"the pig dipped its toes immediately into the water. She sniffed, ""a little cool, but it will have to do."" The pig entered the water with a slow, dignified step.",30s,female
dog,he,he walked up to the muddy bank and took a few sips of water before jumping in and going for a short swim.,30s,female
bear,he,He woke up and was hungry. He needs to catch some fish.,20s,male
mouse,,"The mouse stared at the huge expanse of water and sighed. ‘This is going to be a much bigger journey than I thought.” Sniffing the air for just a moment, the mouse jumped in and for the first time, swam.",60+,male
bear,he,he drank the water and started looking for fish,30s,male
bear,he,he sat down to watch the willows while he waited for his friend.,,
dog,he,"he realised that the river was a metaphor for something greater in life, a sort of juxtaposition on how the peace we go in search for is usually amidst the chaos within ourselves. The thirst he wanted to quench himself of was not of water, but a yearning for serenity, and upon arriving at the river, the realisation hits the dog, and he feels like the world is nothing short of a rat trap.",u20,female
pig,he,he stood at the bank and peered into the water. It was not long until the blue fish poked his head out and greeted him.,20s,female
cat,it,"the cat stood at the bank and watched. At just the right moment, it swooped its paw in and pulled out its fresh fish dinner. ",40s,female
bird,,"the bird found a fox who was also looking to catch a fish. Being adversaries, they turn to diplomacy and start a friendly conversation about the weather, for hours they go, exploring the intrincacies of cloud shapes and wind direction, fighting boredom and expecting to repel the other. To no result, night came and sleep too, they lay and choose to settle the dispute in the morning.",50s,male
mouse,he,the mouse ponders what brought him to the river. Was it his intense need to be seen by someone who could fully perceive him? Or was it simply his thirst?,,
bear,he,"He observed the river, dipped his paws in, and since it was spring, he cooled off. He lay on his back and swam.
",20s,female
cat,,"To catch a fish, wash my claws and face, then head back to the house to see if anything interests me. If not, I head to the woods. ",60+,female
mouse,he,"he stared up at the winding body of water, bursting at the banks. then he saw a wizard, who said, 'howdie bitch i hear u wanted some cheese!' and the mouse nodded his lil head. the wizard waved his hand and procured...'the finest shit!!' said the mouse- he was looking at some d.o.p. parmigiano reggiano.  ",u20,female
bear,he,"he drank the water, solving his thirst.",u20,male
mouse,she,"the mouse found her mouse friend, and they did cartwheels across the bridge!",20s,female
bird,,"The bird said, “now, I must go to the mountain.” 
Upon arriving, the bird said “now, I must go to the sea.”

When does it end huh? IS THIS WHAT YOU WANTED! ARE YOU HAPPY NOW RUSS?!?!?",30s,male
pig,he,"he bathed in the river. Though the stream was murky, he believed he could discern a strange glow emanating from below….",u20,male
bear,he,"he saw a fishing moose there, baffled he yelled ""what are ya doin' man?"". Moose looked at him and yelled back ""i am fishin'! what d'ya want?"". ""nothin'!"" yelled bear and left to the woods",30s,male
bird,he,"the bird looked around at all his family and friends who had gathered on both banks of the river. The tension in the air was palpable, muted chirps and feathers rustling as birds on both sides settled down, and his eyes were drawn over to the most beautiful bird he had ever known. Silence descended just seconds before they both launched themselves into the air...",50s,
rabbit,she,"she waited on the shore for a boat to arrive. The first boat had a fox pilot. ""I will wait for the next boat,"" she said. The next boat had an owl pilot. ""I will wait for the next boat,"" she said.",50s,female
bear,he,"he pissed in the river and laughed. “What did you think I was gonna do, wash my clothes?“",20s,female
bird,he,He sat down in the water and began swimming. He caught up to all the other birds. He was finally home.,20s,female
dog,she,"she sat down by the river's edge and breathed in the crisp spring air. Sometimes the pressure of being a ""good girl"" catches up to her and she needs to take a moment to enjoy the calmness of nature.",na,female
bird,it,"the bird sat by the river and contemplated life. it looked at the fish in the river and the sun in the sky, and felt that all was well.",,
mouse,he,"the mouse found the reflective light through the trees onto the brook to be mesmerizing, almost missing the spot where he docked his boat. It was a little wooden patched-up thing, something he'd built up with his father and then later his friend. Anyway, he was getting late- his wife was waiting across and he was almost late with the flowers!",u20,female
mouse,she,"She ran along the bank, glancing behind furtively behind to see if they were still following.

Ahead she thought there was a bridge over the river.

That's when she saw the chicken, on the bridge getting ready to jump in.",60+,male
rabbit,,the rabbit encountered a boat. The rabbit took the boat and drove into the mountainous horizon. The rabbit's skeletal remains were found 4 years later.,20s,female
bird,he,he saw the rhinoceros he had seen months ago. There was his friend and he congratulated him for coming back safe.,30s,male
bear,he,"the bear saw a herd of elephants taking bath. Baby elephants are playful and the elder ones are just enjoying the warmth of the sun in the water. He thinks, omg...I have to share my bath time with the mighty elephants! What a great day.",,
bear,he,"it stuck its paw in the water to get a fish. However, the fish bit his paw off.",,
rabbit,he,"to the lemonade stand, he said to the man running the stand ""bom bom bom"", ""Heeey! Got any grapes?"" The man said, ""No, we just sell lemonade.""",40s,male
bear,he,"it took of his non-existent pants, put on a bathing suit for some reason, and jumped right in",,
cat,she,she looked carefully for the ferry dock.,20s,female
mouse,he,"... the mouse looked both upstream and down, but couldn't find his friend. ""Where is Cat? She said she would wait for me here!""",50s,female
dog,he,"he left with me: three gold coins, a mysterious palimpsest, and a silver locket.

He then instructed me to tie up any loose ends and meet him at the docks at noon in eight days.

When I arrived at our rendezvous point, I was surprised to see him at the helm of a commercial fishing vessel, motioning for me to come aboard.",30s,male
dog,he,he took a drink.,30s,female
mouse,,"The mouse looked for the tree at the crook in the bend, and began digging under the gnarly roots.",40s,male
pig,he,"he laid out a blanket and picnic basket, and sat down on the bank to watch the ferry go by.",40s,male
bear,he,"the bear looked for fish. He didn't find any this time. ""Let's go look for honey instead"", said the bear.",30s,female
bear,he,he realised the riverbed was dry and went in search of some other body of ACTUAL water.,40s,male
mouse,,the mouse baptised the masses and gave them new life.,30s,male
bird,he,"the bird kept an eye out for any creatures that might want to eat it.  Then, with the coast clear, the bird took a delicious drink of water and searched for some green edibles to eat. He took off with the greens in his mouth. ",60+,female
pig,he,"The pig slowly approached the man in the black suit before him, heart-beating with every step. The pig knew what he had to do but at that moment he questioned every decision he had ever made that had gotten him to this point - what was he doing, he thought? he had a beautiful wife at home, and yet here he was, about to make a life-changing decision all for a little cash. He drew a deep breath, ",u20,female
cat,he,he boarded a boat and set sail for a new life.,20s,female
rabbit,she,"she was shocked to find the place she had so carefully maintained through the summer, ransacked. The only thing left was her carton of bottles, still neatly arranged and without a single chip. Her beloved project was elevated to a place above the desolate landscape, as if to let her know that her aggressors were above destroying such fine art.",30s,non-binary
bird,he,"there was no river. Tall concrete monsters, which humans call progress and civilization, took every inch of the land. Nature started to feel like the most unnatural word in the world—he thought— before taking flight away for the last time, in his bird life.",40s,male
mouse,he,"the mouse scanned the shoreline for a fishing mouse with a boat who could take him to the island. He quickly found one, haggled to arrange the price (three bits of cheese), and the mouse hopped on board for the short but harrowing ride.",30s,male
bear,he,He met his friends and ate fish to celebrate.,u20,na
cat,he,it stared into the reflexion's eyes. Was that really him?,,
pig,it,"it decided that it didn't really want to wash itself at all, being a pig. It returned to its home, and then pondered what made it act in such a rash way. Sometimes stories try to illustrate a point, but this one does not.",20s,male
cat,it,the cat was overwhelmed by the flow of the river. It nevertheless waded in slowly and with great determination crossed the mighty body of water.,40s,male
mouse,it,the mouse stopped and looked at its reflection. Then decided to turn around and climb the mountain.,30s,female
mouse,it,"it swished its head, looking for its comrade.",,
dog,he,Dog sniffed and surveyed the shore for a way to cross. He knew his human needed him as much as he needed his human.,,
bird,she,"she cautiously walked up to the bank, almost teetering on the edge. She hadn’t been back since the incident. “Breathe, you can do this” she muttered to herself, willing her body to take that next step, but as much as she tried her feet would not budge.",30s,male
dog,it,"the dog found its owner, who was enjoying a picnic with her family. The dog barked furiously and pointed west to warn its owner of the approaching robot army.",50s,male
mouse,,"the mouse laid out the picnic blanket and food. The mouse's family arrived shortly after, and they all enjoyed a fantastic picnic by the river.",na,na
bear,he,"the bear took a nap at the riverbank. Afterwards he said: ""I'm hungry."" He took this to heart and went for a swim.",,
bear,it,it contemplated the philosophy of biological essentialism,20s,female
dog,he,"he found that the river was flooded, with waters reaching all the way to the Arch. He spotted a bag of treats in a submerged car and dove to retrieve them.",30s,female
bird,,The bird shook,,
dog,she,She waded in and drank her fill.,60+,female
bird,it,the bird dipped its beak in the water and drank thirstily.,50s,male
cat,,"the cat ate some fish, basked under the sunlight, and purred all day. ",20s,female
cat,he,"he pawed the water, taste-testing it before deciding to go for a swim.",u20,female
cat,,"the cat sang ""Jump in the River"" by Sinead O'Connor.",u20,female
dog,she,"the dog curled up on the riverbank and closed her eyes.  She knew she wouldn’t survive the day.  The steady sound of the flowing water brought back memories of her younger days as a pup, and brought her peace.",40s,male
bear,it,"the bear sat on the bank and turned its nose up to the sun, soaking in some rays upon its fur. The bear contemplated the feeling and things like it that make life sweet.",30s,female
cat,,The cat began to prowl the banks.,30s,female
pig,she,"the pig paused for a moment and snuffled the air. She turned to her friends and asked, do you love the water as much as I do? Then she dove straight in like a cormorant and swam and played for hours until all the mud had washed right away, and she was perfectly pink.",60+,female
bear,it,"the bear realized it was full of fish, and immediately returned to gather their bear friends so they could all enjoy the plentiful bounty.",20s,male
dog,she,"she sniffed along the bank, one paw lifted, for she was an excellent pointer.  She caught the scent of the ball and took a giant leap into the water.  Prize in tow, she drifted a few yards before scrambling back up, dropping the ball at the feet of her human and wagging her tail: ""again please!""",,
mouse,she,"she filled her bucket with the cool water, taking great care to avoid the skipper bugs that danced on the surface.",,
rabbit,they,The rabbit checked the river level because they were worried about their burrow flooding.,40s,non-binary
dog,he,the dog jumped in and swam while the current ushered him through forests and towns until he was emptied out to the delta.,20s,male
rabbit,he,the rabbit proceeded to take revenge on the turtle that punished him by holding his family hostage for the next three days. The ransom was paid too late as the turtle dit not arrive in time.,20s,male
rabbit,she,"she approached the slow-moving stream and eyed the water lilies again. ""If only I could hop them myself, like Dr. Frog!"" she thought. Indeed, this very river was now all that separated her from those delectable garden delights ahead. ",20s,male
dog,she,"the dog saw a flock of geese taking a break from flying. As she ran toward the flock, the geese drew up their wings and started to sound the alarm. ",,
bear,it,"the bear sat along the riverbank and took in the scenery. ""What a refreshing morning,"" the bear said as it inhaled the cool forest breeze and felt a splash of river water on its toes that quickly dried in the sun.",30s,female
dog,he,"he took a few laps of silty water from the eddies against the bank, and lay down to watch the river flow, here rushing, there slicing against a rock outcropping of the bed beneath. The cat came up slowly behind him, and he let her approach as she chose; why fight on a day as divine as this?",,
dog,it,it starred at the reflection in the water and wheeped,20s,female
cat,she,"she pulled her babies out of the water, saving them from the crocodiles.",60+,male
bird,he,The bird waited for his friend the fish.,30s,non-binary
bear,it,"it splashed into the water, gazing upon the fish swimming by.",20s,female
bird,,the bird caught some fish.,30s,male
bird,,the bird drank some water.,60+,female
bird,,"the bird had a drink, looked about, and was promptly eaten by an alligator.",50s,male
rabbit,he,He jumped in,60+,male
rabbit,,"to the river, the rabbit met the fish who swam in the water.",na,na
bear,it,"it gazed into the rapids where the salmon leapt below the surface, making their annual migration.",20s,female
dog,he,"He met a fox who needed help crossing the river, which was too swollen to cross at that time. The dog knew that bringing his human would likely get the fox across the river. He did not anticipate the problem in communication, however. ",30s,female
dog,,The lazy dog jumped over the log to catch a fox.,,
cat,it,The cat stared into the river for 5 whole minutes before it decided to do a somersault and jump into the river.,20s,female
bear,it,"the bear stared into the water, surveying for fish. The bear was hungry and eager to catch its meal.",30s,female
rabbit,they,"the rabbit came across a turtle.  The turtle asked the rabbit where they were going. The rabbit said, ""I have to get home!""",30s,female
rabbit,they,"The rabbit realized it forgot its bathing suit and returned home to get it. On their way back, the rabbit realized, ‘I’m a rabbit,’ I don’t have a home or a bathing suit. So they went back to the river and jumped in (sadly rabbits can’t swim and it drowned). ",30s,male
cat,,the cat drank from the river while eyeing the depths for fish.,30s,male
mouse,he,"the mouse washed himself thoroughly, then shook the water off his now-silky fur.",30s,female
rabbit,she,the rabbit started flowing on its back. Surprisingly well. Her whistling awoke the whole town.,40s,female
rabbit,he,"he looked around for a way to cross. There was no obvious path of stones, but the water was too deep to hop through. ",20s,na
mouse,,Mouse had planned to sit upon the Thinking Rock and patiently have a good think. Mouse smiled at the thought of thinking time and was quite looking forward to it.,40s,female
rabbit,he,he sat by the bank and waited.,20s,female
cat,,"the cat despaired, for the river was dry. ",30s,female
dog,,"the dog waded into the water and splashed around for a minute or two. ""And now,"" said the dog, ""I must go home.""",30s,female
